Date,Adj Close,Close,High,Low,Open,Volume,MA_50,MA_200,Daily Return,Volatility
2014-09-19,90.6739502,93.88999939,99.69999695,89.94999695,92.69999695,271879400,93.88999939,93.88999939,,
2014-09-22,86.81096649,89.88999939,92.94999695,89.5,92.69999695,66657800,91.88999939,91.88999939,-0.042603046394587896,
2014-09-23,84.18412781,87.16999817,90.48000336,86.62000275,88.94000244,39009800,90.31666565,90.31666565,-0.03025921947333543,
2014-09-24,87.46766663,90.56999969,90.56999969,87.22000122,88.47000122,32088000,90.37999916,90.37999916,0.039004262835583337,
2014-09-25,85.87419128,88.91999817,91.5,88.5,91.08999634,28598000,90.087998962,90.087998962,-0.018217969809512846,
2014-09-26,87.36144257,90.45999908,90.45999908,88.66000366,89.73000336,18340000,90.14999898166667,90.14999898166667,0.017318948961917213,
2014-09-29,85.71000671,88.75,89.69999695,88.01999664,89.62000275,25302000,89.94999912714286,89.94999912714286,-0.01890337273260123,
2014-09-30,85.80658722,88.84999847,90.87999725,88.45999908,89.0,24419400,89.812499045,89.812499045,0.0011267433239436908,
2014-10-01,83.15078735,86.09999847,88.94000244,86.04000092,88.69999695,24029600,89.39999898111111,89.39999898111111,-0.030951041613450636,
2014-10-02,84.07790375,87.05999756,88.19999695,85.61100006,86.26999664,21469700,89.165998839,89.165998839,0.011149815412998976,
2014-10-03,85.08227539,88.09999847,89.94000244,87.65000153,88.09999847,18485700,89.06908971454546,89.06908971454546,0.011945795303787587,
2014-10-06,85.28507996,88.30999756,89.65000153,88.05999756,89.15000153,9268400,89.00583203500001,89.00583203500001,0.0023836446497953467,
2014-10-07,84.66699982,87.66999817,89.69999695,87.05999756,87.94999695,12791700,88.90307558384615,88.90307558384615,-0.007247190665645387,
2014-10-08,85.27542877,88.30000305,88.5,87.05999756,88.0,10252600,88.85999897428572,88.85999897428572,0.007186094366950613,
2014-10-09,85.74864197,88.79000092,90.34999847,88.0,88.51000214,21507000,88.85533243733333,88.85533243733333,0.005549239559171193,
